iter	MultiClass
141	0.5850397047
142	0.5834303999
143	0.5824205847
144	0.5804485303
145	0.5796119979
146	0.5781086282
147	0.5767979458
148	0.57596477
149	0.5741537501
150	0.5728986293
151	0.5718281239
152	0.5703899137
153	0.568152024
154	0.5672717222
155	0.5664059912
156	0.5653102121
157	0.5639808075
158	0.5625510713
159	0.56185023
160	0.5605628301
161	0.5588232433
162	0.5576737773
163	0.5561941727
164	0.5547275134
165	0.5535701252
166	0.5517818791
167	0.5503899416
168	0.5489786523
169	0.5479869209
170	0.5463940157
171	0.5452288327
172	0.5437086287
173	0.5426368437
174	0.5412240172
175	0.5396919875
176	0.5386017167
177	0.5375824431
178	0.5364607719
179	0.5355515237
180	0.5343506137
181	0.5333343234
182	0.5321567033
183	0.5313731675
184	0.5302031442
185	0.5292464559
186	0.5282576287
187	0.5269320928
188	0.5262980473
189	0.5249864196
190	0.5239523249
191	0.52256417
192	0.5217051593
193	0.5201989488
194	0.5192733754
195	0.5181032638
196	0.5166973729
197	0.5153650428
198	0.5146720573
199	0.5137616995
200	0.5127794859
201	0.5118536295
202	0.5109248821
203	0.5102216671
204	0.5088603581
205	0.5073206488
206	0.5065360869
207	0.5055316566
208	0.5040869429
209	0.5024746138
210	0.5018625187
211	0.5006796318
212	0.4994206889
213	0.4986185348
214	0.4974134782
215	0.4956067387
216	0.4944049031
217	0.4934183584
218	0.4924649779
219	0.4917033675
220	0.4910797429
221	0.4899492986
222	0.4890386692
223	0.4878566398
224	0.4870018474
225	0.4860809077
226	0.4852453129
227	0.484064242
228	0.4834199209
229	0.4824808501
230	0.4810917911
231	0.4800018394
232	0.4789765174
233	0.4782109967
234	0.4768697488
235	0.4764216935
236	0.4751809536
237	0.4742185143
238	0.4733786693
239	0.4729051792
240	0.4723328908
241	0.4714342682
242	0.4708502947
243	0.4691360637
244	0.4682509567
245	0.4672460519
246	0.4659596315
247	0.4654095217
248	0.4647032534
249	0.4636194739
250	0.4627095433
251	0.4619881061
252	0.4615994029
253	0.4605848617
254	0.4594783643
255	0.4585683954
256	0.458052318
257	0.4575023857
258	0.4570134185
259	0.4559139825
260	0.4546948459
261	0.453745005
262	0.4531755044
263	0.4513937292
264	0.4503190346
265	0.4492713422
266	0.4481140245
267	0.4474331923
268	0.4463426102
269	0.4453381751
270	0.4445838996
271	0.4440399386
272	0.4429378012
273	0.4417364468
274	0.4398357806
275	0.4390665979
276	0.4383790667
277	0.4376706466
278	0.4366679717
279	0.4357072333
280	0.4350301068
281	0.4346610367
282	0.4342061457
283	0.4333659542
284	0.4321699717
285	0.4316725888
286	0.430750812
287	0.4301694654
288	0.4295746711
289	0.4283922582
290	0.4276112331
291	0.4269993115
292	0.4260204379
293	0.4255197118
294	0.4250166212
295	0.424280035
296	0.4234903494
297	0.4228638424
298	0.4223428295
299	0.4218189197
300	0.4212660132
301	0.420693605
302	0.4200386886
303	0.4191496244
304	0.4187154559
305	0.4180619191
306	0.417381501
307	0.4167300894
308	0.4159559025
309	0.4154896957
310	0.4151236788
311	0.4145005587
312	0.4138929706
313	0.4132999515
314	0.4123954055
315	0.4115529422
316	0.4110114897
317	0.410600494
318	0.4098214542
319	0.4091985633
320	0.4086873548
321	0.4081792724
322	0.4075010668
323	0.4068566727
324	0.4060660324
325	0.4053936729
326	0.4048779986
327	0.4044870001
328	0.4038646963
329	0.4033912952
330	0.4027243735
331	0.4021684524
332	0.4017333165
333	0.4009602493
334	0.3999786452
335	0.3992935277
336	0.3981825381
337	0.3975508994
338	0.3967787255
339	0.3952621833
340	0.3941826577
341	0.3936195841
342	0.3930278011
343	0.3924533194
344	0.3919536111
345	0.3912706801
346	0.3905797606
347	0.3898567898
348	0.3886750212
349	0.3881045773
350	0.3866184982
351	0.3863749734
352	0.3858116536
353	0.3849220724
354	0.3845641702
355	0.3837755513
356	0.3830424853
357	0.3819749378
358	0.3813852153
359	0.38100175
360	0.3806219052
361	0.3802139685
362	0.3798970507
363	0.378940867
364	0.3783220771
365	0.3776108295
366	0.3766480106
367	0.3758907508
368	0.3755311369
369	0.3748217728
370	0.3739498957
371	0.37351102
372	0.3727404855
373	0.3723691803
374	0.3719672174
375	0.3712243192
376	0.370597842
377	0.3699611718
378	0.3693678699
379	0.369105563
380	0.3688993097
381	0.3685282711
382	0.368131649
383	0.3676591947
384	0.3670046789
385	0.3663791101
386	0.365815639
387	0.3651683367
388	0.3647701165
389	0.3639083198
390	0.3635168733
391	0.3629474781
392	0.3623638155
393	0.3617944067
394	0.3612346941
395	0.3602457433
396	0.3597636569
397	0.3593269954
398	0.3583910779
399	0.3577094722
400	0.3574383774
401	0.3565272144
402	0.3561801723
403	0.3554706265
404	0.3551891725
405	0.3544690944
406	0.3538266036
407	0.3535788382
408	0.353188097
409	0.3527376338
410	0.3522463354
411	0.3516470372
412	0.3511117707
413	0.3507302217
414	0.3504533225
415	0.3498939984
416	0.3492837952
417	0.3487608259
418	0.3481662047
419	0.3477658512
420	0.3470492578
421	0.3465389317
422	0.3460152018
423	0.3457252486
424	0.3451802044
425	0.3448910858
426	0.3444317299
427	0.3436969216
428	0.343478808
429	0.3428227564
430	0.3425389152
431	0.3419326285
432	0.3412399441
433	0.3408556999
434	0.3401996577
435	0.3398584477
436	0.3396190203
437	0.3393000163
438	0.3390306127
439	0.3383519775
440	0.3378071262
441	0.3371165309
442	0.3364941106
443	0.3362461425
444	0.3354054349
445	0.3351022894
446	0.3348809053
447	0.3346782494
448	0.334261819
449	0.333992171
450	0.3335111405
451	0.3331102202
452	0.3329238975
453	0.3322620432
454	0.3317548934
455	0.3314179305
456	0.330878911
457	0.3300760981
458	0.3293888885
459	0.3288360295
460	0.3284224889
461	0.3277841845
462	0.3273581698
463	0.3270341463
464	0.3265318918
465	0.3259610922
466	0.3255112672
467	0.3252671273
468	0.3248989302
469	0.3244921936
470	0.3238591163
471	0.3231972651
472	0.3228613618
473	0.322354324
474	0.322027667
475	0.3215797252
476	0.321202547
477	0.3208300026
478	0.3205396734
479	0.320058554
480	0.3198032716
481	0.3192059798
482	0.318844774
483	0.3184921252
484	0.3183575748
485	0.3177834693
486	0.3174648089
487	0.317045532
488	0.3167394726
489	0.3163283865
490	0.3160191652
491	0.3157645273
492	0.3153721569
493	0.3149252042
494	0.3146780228
495	0.3140632802
496	0.3134596606
497	0.3131070718
498	0.3125992186
499	0.3121504558
