iter	Passed	Remaining
434	2396	358
435	2402	352
436	2407	347
437	2412	341
438	2417	335
439	2423	330
440	2428	324
441	2433	319
442	2438	313
443	2444	308
444	2449	302
445	2454	297
446	2460	291
447	2465	286
448	2471	280
449	2476	275
450	2482	269
451	2487	264
452	2493	258
453	2498	253
454	2504	247
455	2511	242
456	2517	236
457	2525	231
458	2532	226
459	2540	220
460	2547	215
461	2552	209
462	2558	204
463	2563	198
464	2569	193
465	2574	187
466	2579	182
467	2585	176
468	2590	171
469	2595	165
470	2601	160
471	2606	154
472	2612	149
473	2617	143
474	2622	138
475	2628	132
476	2633	126
477	2639	121
478	2644	115
479	2649	110
480	2655	104
481	2660	99
482	2665	93
483	2671	88
484	2676	82
485	2681	77
486	2687	71
487	2692	66
488	2698	60
489	2703	55
490	2709	49
491	2714	44
492	2719	38
493	2725	33
494	2730	27
495	2735	22
496	2740	16
497	2745	11
498	2750	5
499	2755	0
